sharedaddress,uniqueaddress,shortpluscode,Consideration,Market_Value,Acquisition_Date,Completion_Date
"Cronk Ny Ollee, Glen Chass Road, Port St. Mary, IM9 5PL",,36CW+RXW,234000.0,234000.0,2020-01-24,2020-06-10
"Glen View, Glen Chass, Port St. Mary, IM9 5PH",,36CX+99X,430000.0,430000.0,2007-05-03,2007-11-21
"Creggan Lea, Glen Chass Road, Port St. Mary, IM9 5PL",,36CX+F82,415000.0,0.0,2005-10-17,2006-03-13
"Creggan Lea, Glen Chass Road, Port St. Mary, IM9 5PL",,36CX+F82,215000.0,430000.0,2008-08-01,2008-09-30
"Hillcrest, Glen Chass Road, Port St. Mary, IM9 5PL",,36CX+J49,330000.0,0.0,2005-09-21,2006-01-20
"Rose Cottage, Glen Chass Road, Port St. Mary, IM9 5PL",,36CX+P42,180000.0,180000.0,1996-09-24,2009-07-09
"Briarfield, Glen Chass, Port St. Mary, IM9 5PL",,36CX+W3M,375000.0,375000.0,2021-06-25,2021-10-19
"Stoneycroft, Howe Road, Port St. Mary, IM9 5PR",,36FQ+5QC,0.0,200000.0,2014-04-08,2014-09-04
"Croym Dty Chione, Howe Road, Port St. Mary, IM9 5PR",,36FR+F93,550000.0,550000.0,2014-05-23,2014-11-26
"Croym Dty Chione, Howe Road, Port St. Mary, IM9 5PR",,36FR+F93,260000.0,260000.0,2018-10-16,2018-11-28
"Fern Cottage, The Howe, Port St. Mary, IM9 5PR",,36FR+HQP,520000.0,520000.0,2019-09-23,2019-11-23
"Geay Varrey, Howe Road, Port St. Mary, IM9 5PR",,36FR+MW8,315000.0,315000.0,2007-05-14,2007-12-05
"Well Cottage, Howe Road, Port St. Mary, IM9 5PR",,36FV+MRF,0.25,450000.0,2017-03-03,2017-08-23
"Armadale, Howe Road, Port St. Mary, IM9 5PR",,36FV+PW9,0.25,895000.0,2017-03-03,2017-08-24
"Lynhurst, Howe Road, Port St. Mary, IM9 5PR",,36FV+Q8W,300000.0,300000.0,2011-08-31,2011-11-17
"Inglebrae, Howe Road, Port St. Mary, IM9 5PR",,36FV+WC7,367500.0,367500.0,2018-06-21,2018-10-04
"Braeside, Port St. Mary, IM9 5PN",Glen Chass,36FW+6G4,380001.0,380001.0,2009-01-29,2009-01-30
"Braeside, Port St. Mary, IM9 5PN",Glen Chass Road,36FW+6G4,379000.0,379000.0,2001-09-14,2008-12-24
"Rowena, Glen Chass Road, Port St. Mary, IM9 5PN",,36FW+9PQ,305000.0,305000.0,2021-12-17,2022-03-11
"The Barn, Glen Chass, Port St. Mary, IM9 5PN",,36FW+FHR,185000.0,185000.0,2018-12-17,2019-07-09
"Thurso House, Glen Chass, Port St. Mary, IM9 5PW",,36FW+GF7,395000.0,395000.0,2012-07-20,2012-11-23
"Thurso House, Glen Chass, Port St. Mary, IM9 5PW",,36FW+GF7,380000.0,380000.0,2018-08-03,2019-01-11
"Honeysuckle Cottage, Glen Chass , Port St. Mary, IM9 5PW",,36FW+MMH,0.0,260000.0,2010-08-31,2011-01-31
"Honeysuckle Cottage, Glen Chass , Port St. Mary, IM9 5PW",,36FW+MMH,263000.0,263000.0,2020-03-19,2020-11-23
"Honeysuckle Cottage, Glen Chass , Port St. Mary, IM9 5PW",,36FW+MMH,319000.0,319000.0,2022-12-02,2023-01-09
